datacenter,canceled_job,hours_before_execution,request_month,request_week,request_day,peak_gpu_hours,offpeak_gpu_hours,num_primary_processes,num_auxiliary_processes,num_background_processes,service_tier,client_type,request_channel,returning_client,previous_job_cancellations,successful_previous_jobs,reserved_gpu_type,assigned_gpu_type,resource_modifications,reservation_commitment,queue_wait_time,workload_profile,estimated_cost_per_hour,reserved_storage_units,special_resource_requests,total_gpu_hours,total_processes,high_value_client,y_true,y_pred,is_error
GPU_Cluster_AA,1,69,10,44,28,25813.7,39905.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T6,GPU_T6,0,no_commitment,0,single_experiment,59.75,0,2,65718.7,2.0,0,1,0,True
GPU_Cluster_AA,1,309,9,36,3,25108.0,53798.4,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T3,1,no_commitment,0,single_experiment,65.61,0,0,78906.4,1.0,0,1,0,True
GPU_Cluster_AA,1,113,7,28,8,32164.9,52507.0,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,190.0,0,1,84671.9,2.0,1,1,0,True
GPU_Cluster_AA,1,63,7,27,3,28510.5,45147.6,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T6,GPU_T6,0,no_commitment,0,single_experiment,117.0,0,1,73658.1,2.0,0,1,0,True
GPU_Cluster_AA,1,79,12,51,17,34115.5,22189.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,2,no_commitment,0,single_experiment,37.8,0,1,56304.6,2.0,0,1,0,True
GPU_Cluster_BB,1,45,6,23,7,0.0,8994.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,150.0,0,1,8994.9,2.0,1,1,0,True
GPU_Cluster_BB,1,30,8,32,8,34720.6,10669.0,2,0.0,0,priority,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,86.0,0,0,45389.6,2.0,0,1,0,True
GPU_Cluster_AA,1,225,5,22,28,15674.5,11398.4,2,0.0,0,priority,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,85.0,0,0,27072.9,2.0,0,1,0,True
GPU_Cluster_BB,1,207,3,10,11,34359.6,11837.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,90.0,0,1,46196.7,2.0,0,1,0,True
GPU_Cluster_BB,1,119,5,19,11,0.0,35394.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,148.8,0,1,35394.8,2.0,1,1,0,True
GPU_Cluster_BB,1,68,4,18,24,33490.9,23391.4,1,1.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,79.56,0,0,56882.3,2.0,0,1,0,True
GPU_Cluster_BB,1,13,9,38,16,0.0,17762.6,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,114.0,0,1,17762.6,1.0,0,1,0,True
GPU_Cluster_BB,1,103,7,29,18,24815.8,17930.8,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,94.5,0,0,42746.6,2.0,0,1,0,True
GPU_Cluster_AA,1,133,2,6,2,119439.8,178362.4,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,24.94,0,0,297802.2,2.0,0,1,0,True
GPU_Cluster_BB,1,148,8,32,9,0.0,37848.1,2,0.0,0,on_demand,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,71.1,0,1,37848.1,2.0,0,1,0,True
GPU_Cluster_BB,1,116,2,10,28,40044.7,20616.8,1,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T4,0,no_commitment,0,multi_run_experiment,61.0,0,0,60661.5,1.0,0,1,0,True
GPU_Cluster_BB,1,0,2,7,13,14894.4,9667.7,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T5,0,no_commitment,0,multi_run_experiment,106.0,0,0,24562.1,2.0,0,1,0,True
GPU_Cluster_AA,1,63,7,27,3,0.0,26102.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,82.0,0,2,26102.1,2.0,0,1,0,True
GPU_Cluster_AA,1,185,1,5,28,37884.6,36618.5,2,0.0,1,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,32.4,0,3,74503.1,3.0,0,1,0,True
GPU_Cluster_BB,1,63,9,36,4,0.0,31644.8,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,116.0,0,0,31644.8,2.0,0,1,0,True
GPU_Cluster_BB,1,175,4,15,13,9298.3,29146.6,3,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,166.5,0,2,38444.9,3.0,1,1,0,True
GPU_Cluster_AA,1,22,12,50,8,0.0,34152.4,2,0.0,0,unknown,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,80.0,0,0,34152.4,2.0,0,1,0,True
GPU_Cluster_BB,1,0,10,40,1,0.0,7087.0,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,180.0,0,0,7087.0,1.0,1,1,0,True
GPU_Cluster_BB,1,115,4,15,8,0.0,23242.3,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T2,1,no_commitment,34,multi_run_experiment,65.0,0,0,23242.3,2.0,0,1,0,True
GPU_Cluster_BB,1,18,12,53,31,21904.4,14894.5,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,119.1,0,2,36798.9,2.0,0,1,0,True
GPU_Cluster_BB,1,194,2,7,14,0.0,89255.9,1,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,54.32,0,1,89255.9,1.0,0,1,0,True
GPU_Cluster_BB,1,53,2,9,27,27078.9,11646.9,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,3,no_commitment,0,single_experiment,84.3,0,2,38725.8,2.0,0,1,0,True
GPU_Cluster_BB,1,5,3,12,19,40505.6,8401.5,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,90.0,0,0,48907.1,2.0,0,1,0,True
GPU_Cluster_AA,1,179,7,27,2,32509.6,129562.7,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,111.0,0,0,162072.3,2.0,0,1,0,True
GPU_Cluster_BB,1,20,5,20,16,0.0,12345.3,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,145.0,0,1,12345.3,2.0,1,1,0,True
GPU_Cluster_AA,1,29,2,7,16,22008.6,42840.7,1,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,49.5,0,0,64849.3,1.0,0,1,0,True
GPU_Cluster_BB,1,242,4,17,26,0.0,63761.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,126.9,0,2,63761.0,2.0,0,1,0,True
GPU_Cluster_AA,1,40,7,29,18,41993.7,61907.5,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,127.03,0,2,103901.2,2.0,0,1,0,True
GPU_Cluster_AA,1,55,9,39,18,18778.9,10066.5,2,0.0,1,priority,internal_research,api_direct,0,0,0,GPU_T1,GPU_T3,2,no_commitment,0,single_experiment,102.0,0,3,28845.4,3.0,0,1,0,True
GPU_Cluster_BB,1,0,8,32,7,20275.2,0.0,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,140.0,0,0,20275.2,2.0,1,1,0,True
GPU_Cluster_BB,1,75,12,49,2,19751.2,24165.6,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,74.8,0,1,43916.8,2.0,0,1,0,True
GPU_Cluster_BB,1,26,6,25,12,39576.9,93710.8,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,116.45,0,0,133287.7,2.0,0,1,0,True
GPU_Cluster_BB,1,179,4,15,14,0.0,30013.5,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,130.5,0,1,30013.5,2.0,0,1,0,True
GPU_Cluster_BB,1,305,7,31,30,22923.5,12947.8,3,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,139.5,0,2,35871.3,3.0,1,1,0,True
GPU_Cluster_BB,1,20,3,11,13,19192.6,18019.0,1,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,178.0,0,0,37211.6,1.0,1,1,0,True
GPU_Cluster_AA,1,180,8,34,17,56063.2,204218.7,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,143.1,0,0,260281.9,2.0,1,1,0,True
GPU_Cluster_BB,1,70,4,16,16,42465.2,22157.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,107.95,0,2,64622.2,2.0,0,1,0,True
GPU_Cluster_AA,1,49,9,38,19,18565.7,16718.2,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T5,GPU_T6,0,no_commitment,0,single_experiment,99.0,0,0,35283.9,2.0,0,1,0,True
GPU_Cluster_BB,1,281,8,32,7,14864.8,46446.5,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,107.1,0,1,61311.3,2.0,0,1,0,True
GPU_Cluster_AA,1,183,9,39,22,29009.5,113755.8,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T4,GPU_T4,3,no_commitment,0,single_experiment,73.5,0,0,142765.3,2.0,0,1,0,True
GPU_Cluster_AA,1,172,4,17,29,17519.3,60010.8,2,0.0,0,priority,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,1,no_commitment,0,single_experiment,97.71,0,0,77530.1,2.0,0,1,0,True
GPU_Cluster_BB,1,1,12,52,22,0.0,60997.8,2,0.0,0,on_demand,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,80.0,0,0,60997.8,2.0,0,1,0,True
GPU_Cluster_BB,1,30,4,17,29,19912.0,15063.8,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,115.0,0,1,34975.8,2.0,0,1,0,True
GPU_Cluster_BB,1,9,6,26,28,0.0,20987.7,2,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,100.0,0,0,20987.7,2.0,1,1,0,True
GPU_Cluster_AA,1,17,7,30,28,0.0,19036.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,205.0,0,1,19036.1,2.0,1,1,0,True
GPU_Cluster_AA,1,10,7,30,22,0.0,10118.2,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,126.0,0,0,10118.2,2.0,0,1,0,True
GPU_Cluster_AA,1,122,6,23,8,22983.0,34121.3,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,140.0,0,1,57104.3,2.0,1,1,0,True
GPU_Cluster_BB,1,11,8,33,15,0.0,26629.5,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,12.0,0,0,26629.5,2.0,0,1,0,True
GPU_Cluster_AA,1,24,2,7,16,0.0,40648.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,68.0,0,1,40648.0,2.0,0,1,0,True
GPU_Cluster_BB,1,7,2,8,15,14830.8,32650.1,1,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,66.22,0,1,47480.9,1.0,0,1,0,True
